SequenceName	ClusterNumber
hCoV_19_Brazil_SPBR_12_2020_EPI_ISL_416034	23
hCoV_19_Brazil_SPBR_07_2020_EPI_ISL_416028	23
hCoV_19_Belgium_UMF_03025_2020_EPI_ISL_416472	23
hCoV_19_Belgium_ULG_3000_2020_EPI_ISL_417004	23
hCoV_19_Belgium_ULG_2971_2020_EPI_ISL_416997	23
gt_hCoV_19_Brazil_SPBR_08_2020_EPI_ISL_416029	23
BetaCoV_Switzerland_1000477806_2020_EPI_ISL_413024	23
BetaCoV_Switzerland_1000477796_2020_EPI_ISL_413022	23
BetaCoV_Switzerland_1000477757_2020_EPI_ISL_413021	23
BetaCoV_Mexico_CDMX_InDRE_01_2020_EPI_ISL_412972	23
BetaCoV_Germany_Baden_Wuerttemberg_1_2020_EPI_ISL_412912	23
BetaCoV_Scotland_CVR01_2020_EPI_ISL_413221	23
BetaCoV_Switzerland_1000477377_2020_EPI_ISL_413020	23
hCoV_19_Brazil_SPBR_04_2020_EPI_ISL_414017	23
hCoV_19_China_WF0028_2020_EPI_ISL_413791	24
hCoV_19_China_WF0026_2020_EPI_ISL_413761	24
hCoV_19_China_WF0012_2020_EPI_ISL_413697	24
hCoV_19_China_Shanghai_SH0041_EPI_ISL_416350	24
hCoV_19_China_Shanghai_SH0026_EPI_ISL_416335	24
hCoV_19_Australia_VIC11_2020_EPI_ISL_416517	-1
hCov_19_Netherlands_NA_28_2020_EPI_ISL_415485	25
hCov19_France_Pollionay_1733_2020_EPI_ISL_416745	25
hCoV_19_USA_WA_UW166_2020_EPI_ISL_416704	25
hCoV_19_USA_WA_UW155_2020_EPI_ISL_416693	25
hCoV_19_USA_WA_UW133_2020_EPI_ISL_416671	25
hCov_19_Netherlands_NA_31_2020_EPI_ISL_415488	25
hCoV_19_Netherlands_ZuidHolland_31_2020_EPI_ISL_415535	25
hCov19_France_Lyon_683_2020_EPI_ISL_416750	25
hCov19_France_Bourg_en_Bresse_06678_2020_EPI_ISL_416757	25
nCoV_19_Georgia_Tb_673_2020_EPI_ISL_416478	25
hCoV_19_USA_WA_UW96_2020_EPI_ISL_416452	25
hCoV_19_USA_WA_UW78_2020_EPI_ISL_416434	25
hCoV_19_USA_WA_UW186_2020_EPI_ISL_416724	25
hCoV_19_USA_WA_UW170_2020_EPI_ISL_416708	25
hCoV_19_USA_WA_UW160_2020_EPI_ISL_416698	25
hCoV_19_USA_WA_UW153_2020_EPI_ISL_416691	25
hCoV_19_USA_WA_UW123_2020_EPI_ISL_416661	25
hCoV_19_USA_WA_UW115_2020_EPI_ISL_416653	25
hCoV_19_France_PL1643_2020_EPI_ISL_414625	25
hCoV_19_France_IDF2256_2020_EPI_ISL_416498	25
hCoV_19_France_HF2237_2020_EPI_ISL_416496	25
hCoV_19_France_HF2234_2020_EPI_ISL_416495	25
hCoV_19_France_HF1988_2020_EPI_ISL_414635	25
hCoV_19_France_B2351_2020_EPI_ISL_416513	25
hCoV_19_France_B2344_2020_EPI_ISL_416509	25
hCoV_19_England_SHEF_BFCC0_2020_EPI_ISL_416731	25
hCoV_19_England_20100121007_2020_EPI_ISL_415141	25
hCoV_19_England_20100121006_2020_EPI_ISL_415140	25
hCoV_19_Denmark_SSI_04_2020_EPI_ISL_416153	25
hCoV_19_Wales_PHW10_2020_EPI_ISL_415453	25
hCoV_19_Netherlands_NoordBrabant_4_2020_EPI_ISL_414450	25
hCoV_19_NetherlandsL_Houten_1363498_2020_EPI_ISL_413575	25
hCoV_19_England_20100022706_2020_EPI_ISL_415136	25
hCoV_19_England_20099107406_2020_EPI_ISL_415131	25
hCoV_19_France_HF2239_2020_EPI_ISL_416497	25
hCoV_19_France_HF2174_2020_EPI_ISL_415697	25
hCoV_19_France_HF2174_2020_EPI_ISL_415654	25
hCoV_19_France_HF1995_2020_EPI_ISL_414638	25
hCoV_19_France_HF1993_2020_EPI_ISL_414637	25
hCov_19_Netherlands_NA_30_2020_EPI_ISL_415487	25
hCov_19_Netherlands_NA_24_2020_EPI_ISL_415481	25
hCoV_19_USA_WI_05_2020_EPI_ISL_416492	25
hCoV_19_USA_WI_03_2020_EPI_ISL_416523	25
hCoV_19_USA_WI4_2020_EPI_ISL_416491	25
hCoV_19_USA_WA_UW82_2020_EPI_ISL_416438	25
hCoV_19_USA_WA_UW69_2020_EPI_ISL_415597	25
hCoV_19_USA_WA_UW60_2020_EPI_ISL_415625	25
hCoV_19_USA_WA_UW29_2020_EPI_ISL_414616	25
hCoV_19_USA_WA_UW191_2020_EPI_ISL_416729	25
hCoV_19_USA_WA_UW187_2020_EPI_ISL_416725	25
hCoV_19_USA_WA_UW181_2020_EPI_ISL_416719	25
hCoV_19_USA_WA_UW178_2020_EPI_ISL_416716	25
hCoV_19_USA_WA_UW169_2020_EPI_ISL_416707	25
hCoV_19_USA_WA_UW161_2020_EPI_ISL_416699	25
hCoV_19_USA_WA_UW117_2020_EPI_ISL_416655	25
hCoV_19_USA_WA_UW110_2020_EPI_ISL_416648	25
hCoV_19_USA_WA_UW109_2020_EPI_ISL_416647	25
hCoV_19_USA_WA_UW104_2020_EPI_ISL_416642	25
hCoV_19_USA_UPHL_06_2020_EPI_ISL_415544	25
hCoV_19_USA_UPHL_05_2020_EPI_ISL_415543	25
hCoV_19_USA_CA_MG0987_2020_EPI_ISL_416457	25
hCoV_19_Netherlands_Haarlem_1363688_2020_EPI_ISL_413572	25
hCoV_19_France_IDF2284_2020_EPI_ISL_416501	25
hCoV_19_France_HF2039_2020_EPI_ISL_415692	25
hCoV_19_France_HF2039_2020_EPI_ISL_415649	25
hCoV_19_France_HF1795_2020_EPI_ISL_414627	25
hCoV_19_France_B2349_2020_EPI_ISL_416512	25
hCoV_19_France_B2348_2020_EPI_ISL_416511	25
hCoV_19_France_B2330_2020_EPI_ISL_416502	25
hCoV_19_France_IDF2075_2020_EPI_ISL_415693	25
hCoV_19_France_IDF2075_2020_EPI_ISL_415650	25
hCoV_19_Belgium_ULG_6754_2020_EPI_ISL_417019	25
hCoV_19_USA_NY_NYUMC4_2020_EPI_ISL_416832	25
hCoV_19_France_GE1973_2020_EPI_ISL_414631	25
hCoV_19_Czech_Republic_ChVir1630_2020_EPI_ISL_416742	25
hCoV_19_China_Shanghai_SH0025_EPI_ISL_416334	25
hCoV_19_Brazil_SPBR_06_2020_EPI_ISL_414015	25
hCoV_19_Australia_QLDID920_2020_EPI_ISL_417032	25
BetaCoV_Italy_CDG1_2020_EPI_ISL_412973	25
nCoV_19_Georgia_Tb_273_2020_EPI_ISL_416479	25
nCoV_19_Georgia_Tb_2020_EPI_ISL_416482	25
nCoV_19_Ge_Tb_712_2020_EPI_ISL_416481	25
hCov_19_Netherlands_NoordBrabant_64_2020_EPI_ISL_415520	25
hCov_19_Netherlands_NoordBrabant_62_2020_EPI_ISL_415518	25
hCov_19_Netherlands_NoordBrabant_59_2020_EPI_ISL_415515	25
hCov_19_Netherlands_NoordBrabant_41_2020_EPI_ISL_415499	25
hCov_19_Netherlands_NA_1_2020_EPI_ISL_415465	25
hCov_19_Netherlands_NA_18_2020_EPI_ISL_415474	25
hCov_19_Netherlands_NA_17_2020_EPI_ISL_415473	25
hCov_19_Netherlands_NA_16_2020_EPI_ISL_415472	25
hCov_19_Netherlands_NA_13_2020_EPI_ISL_415469	25
hCov_19_Netherlands_NA_10_2020_EPI_ISL_415466	25
hCov_19_Netherlands_Flevoland_1_2020_EPI_ISL_415460	25
hCov19_France_Valence_532_2020_EPI_ISL_416749	25
hCov19_France_Lyon_487_2020_EPI_ISL_416747	25
hCov19_France_Lyon_06531_2020_EPI_ISL_416756	25
hCov19_France_Lyon_06487_2020_EPI_ISL_416754	25
hCov19_France_Lyon_06464__2020_EPI_ISL_416753	25
hCov19_France_Clermont_Ferrand_651_2020_EPI_ISL_416751	25
hCov19_France_Clermont_Ferrand_650_2020_EPI_ISL_416752	25
hCoV_19_Wales_PHW21_2020_EPI_ISL_416026	25
hCoV_19_Wales_PHW1_2020_EPI_ISL_413555	25
hCoV_19_Wales_PHW17_2020_EPI_ISL_416027	25
hCoV_19_Wales_PHW12_2020_EPI_ISL_415536	25
hCoV_19_Wales_PHW09_2020_EPI_ISL_415978	25
hCoV_19_Wales_PHW06_2020_EPI_ISL_415435	25
hCoV_19_United_Kingdom_200981386_2020_EPI_ISL_414010	25
hCoV_19_USA_WA_UW73_2020_EPI_ISL_415601	25
hCoV_19_USA_WA_UW25_2020_EPI_ISL_414594	25
hCoV_19_USA_WA_UW140_2020_EPI_ISL_416678	25
hCoV_19_USA_WA_UW136_2020_EPI_ISL_416674	25
hCoV_19_USA_WA_UW135_2020_EPI_ISL_416673	25
hCoV_19_USA_WA_UW134_2020_EPI_ISL_416672	25
hCoV_19_USA_WA_UW122_2020_EPI_ISL_416660	25
hCoV_19_USA_WA_UW120_2020_EPI_ISL_416658	25
hCoV_19_USA_UT_00009_2020_EPI_ISL_417027	25
hCoV_19_USA_UT_00008_2020_EPI_ISL_417026	25
hCoV_19_USA_NY_NYUMC3_2020_EPI_ISL_416831	25
hCoV_19_USA_NY_NYUMC2_2020_EPI_ISL_416830	25
hCoV_19_USA_CT_Yale_006_2020_EPI_ISL_416420	25
hCoV_19_USA_CA_PC101P_2020_EPI_ISL_414648	25
hCoV_19_Taiwan_NTU03_2020_EPI_ISL_413592	25
hCoV_19_Switzerland_TI9486_2020_EPI_ISL_413996	25
hCoV_19_Switzerland_GE6679_2020_EPI_ISL_415707	25
hCoV_19_Switzerland_GE5373_2020_EPI_ISL_414020	25
hCoV_19_Switzerland_GE4984_2020_EPI_ISL_415708	25
hCoV_19_Switzerland_GE4135_2020_EPI_ISL_415705	25
hCoV_19_Switzerland_GE3121_2020_EPI_ISL_414019	25
hCoV_19_Switzerland_GE062072020_EPI_ISL_415706	25
hCoV_19_Switzerland_BE2536_2020_EPI_ISL_415704	25
hCoV_19_Switzerland_AG0361_2020_EPI_ISL_413999	25
hCoV_19_Spain_Valencia1_2020_EPI_ISL_414495	25
hCoV_19_Spain_Madrid201442_2020_EPI_ISL_417010	25
hCoV_19_Spain_Galicia201663_2020_EPI_ISL_417007	25
hCoV_19_Scotland_EDB013_2020_EPI_ISL_415639	25
hCoV_19_Scotland_EDB011_2020_EPI_ISL_415637	25
hCoV_19_Scotland_EDB004_2020_EPI_ISL_415629	25
hCoV_19_Scotland_EDB003_2020_EPI_ISL_415640	25
hCoV_19_Scotland_CVR05_2020_EPI_ISL_414027	25
hCoV_19_Scotland_CVR03_2020_EPI_ISL_414025	25
hCoV_19_Portugal_CV63_2020_EPI_ISL_413648	25
hCoV_19_Panama_328677_2020_EPI_ISL_415152	25
hCoV_19_Northern_Ireland_HSCNI01_2020_EPI_ISL_414949	25
hCoV_19_Netherlands_ZuidHolland_30_2020_EPI_ISL_415534	25
hCoV_19_Netherlands_ZuidHolland_17_2020_EPI_ISL_414559	25
hCoV_19_Netherlands_Zeewolde_1365080_2020_EPI_ISL_413591	25
hCoV_19_Netherlands_Utrecht_8_2020_EPI_ISL_414441	25
hCoV_19_Netherlands_Utrecht_3_2020_EPI_ISL_414437	25
hCoV_19_Netherlands_Utrecht_11_2020_EPI_ISL_414443	25
hCoV_19_Netherlands_NoordBrabant_21_2020_EPI_ISL_414530	25
hCoV_19_Netherlands_NoordBrabant_1_2020_EPI_ISL_414428	25
hCoV_19_Netherlands_NoordBrabant_17_2020_EPI_ISL_414457	25
hCoV_19_Netherlands_NoordBrabant_16_2020_EPI_ISL_414456	25
hCoV_19_Netherlands_NoordBrabant_13_2020_EPI_ISL_414453	25
hCoV_19_Netherlands_Gelderland_2_2020_EPI_ISL_415462	25
hCoV_19_Netherlands_Blaricum_1364780_2020_EPI_ISL_413566	25
hCoV_19_Luxemburg_Lux1_2020_EPI_ISL_413593	25
hCoV_19_Lithuania_ChVir1632_2020_EPI_ISL_416741	25
hCoV_19_Japan_SMU_0311S3_2020_EPI_ISL_416525	25
hCoV_19_Japan_SMU_0311S2_2020_EPI_ISL_416524	25
hCoV_19_Ireland_Limerick_19935_2020_EPI_ISL_414587	25
hCoV_19_Ireland_Limerick_19934_2020_EPI_ISL_414586	25
hCoV_19_Ireland_Limerick_19933_2020_EPI_ISL_414585	25
hCoV_19_Hungary_mbl1_2020_EPI_ISL_416426	25
hCoV_19_Georgia_Tb_477_2020_EPI_ISL_415642	25
hCoV_19_France_N2223_2020_EPI_ISL_416494	25
hCoV_19_France_N1620_2020_EPI_ISL_414624	25
hCoV_19_France_N1620_2020_EPI_ISL_414601	25
hCoV_19_France_IDF2279_2020_EPI_ISL_416500	25
hCoV_19_France_IDF2278_2020_EPI_ISL_416499	25
hCoV_19_France_IDF1980_2020_EPI_ISL_414633	25
hCoV_19_France_HF2196_2020_EPI_ISL_416493	25
hCoV_19_France_HF2151_2020_EPI_ISL_415696	25
hCoV_19_France_HF2151_2020_EPI_ISL_415653	25
hCoV_19_France_HF1870_2020_EPI_ISL_414629	25
hCoV_19_France_HF1805_2020_EPI_ISL_414628	25
hCoV_19_France_HF1684_2020_EPI_ISL_414626	25
hCoV_19_France_BFC2147_2020_EPI_ISL_415695	25
hCoV_19_France_BFC2147_2020_EPI_ISL_415652	25
hCoV_19_France_BFC2094_2020_EPI_ISL_415694	25
hCoV_19_France_BFC2094_2020_EPI_ISL_415651	25
hCoV_19_France_B2346_2020_EPI_ISL_416510	25
hCoV_19_France_B2343_2020_EPI_ISL_416508	25
hCoV_19_France_B2337_2020_EPI_ISL_416506	25
hCoV_19_France_B2336_2020_EPI_ISL_416505	25
hCoV_19_France_B2335_2020_EPI_ISL_416504	25
hCoV_19_Finland_FIN_455_2020_EPI_ISL_414642	25
hCoV_19_Finland_FIN_266_2020_EPI_ISL_414646	25
hCoV_19_Finland_FIN_114_2020_EPI_ISL_414640	25
hCoV_19_Finland_FIN03032020A_2020_EPI_ISL_413602	25
hCoV_19_England_SHEF_BFD09_2020_EPI_ISL_416735	25
hCoV_19_England_20110003506_2020_EPI_ISL_415150	25
hCoV_19_England_201040141_2020_EPI_ISL_414526	25
hCoV_19_England_201040081_2020_EPI_ISL_414525	25
hCoV_19_England_20102000506_2020_EPI_ISL_415147	25
hCoV_19_England_20102000306_2020_EPI_ISL_415146	25
hCoV_19_England_20100005406_2020_EPI_ISL_415135	25
hCoV_19_England_20100004806_2020_EPI_ISL_415134	25
hCoV_19_England_20100004706_2020_EPI_ISL_415133	25
hCoV_19_England_200991076_2020_EPI_ISL_414524	25
hCoV_19_England_200990660_2020_EPI_ISL_414523	25
hCoV_19_Denmark_SSI_102_2020__EPI_ISL_415647	25
hCoV_19_Denmark_SSI_101_2020_EPI_ISL_415646	25
hCoV_19_Denmark_SSI_09_2020_EPI_ISL_416141	25
hCoV_19_Denmark_SSI_03_2020_EPI_ISL_416144	25
hCoV_19_Denmark_SSI_02_2020_EPI_ISL_416143	25
hCoV_19_Czech_Republic_951_2020_EPI_ISL_414477	25
hCoV_19_Congo_KN_13_2020_EPI_ISL_414647	25
hCoV_19_China_Shanghai_SH0014_EPI_ISL_416327	25
hCoV_19_Brazil_SPBR_09_2020_EPI_ISL_416031	25
hCoV_19_Brazil_SPBR_05_2020_EPI_ISL_414016	25
hCoV_19_Brazil_RJ_314_2020_EPI_ISL_414045	25
hCoV_19_Belgium_ULG_6972_2020_EPI_ISL_417024	25
hCoV_19_Belgium_ULG_6503_2020_EPI_ISL_417016	25
hCoV_19_Belgium_SH_03014_2020_EPI_ISL_415156	25
BetaCoV_Italy_UniSR1_2020_EPI_ISL_413489	25
BetaCoV_Germany_BavPat1_2020_EPI_ISL_406862	25
BetaCoV_Brazil_SPBR_01_2020_EPI_ISL_412964	25
hCoV_19_Belgium_BM_03012_2020_EPI_ISL_415154	25
hCoV_19_Belgium_ULG_4163_2020_EPI_ISL_417013	25
hCoV_19_Belgium_ULG_6939_2020_EPI_ISL_417020	25
hCoV_19_China_Spain_cluster_case3_2020_EPI_ISL_415047	25
hCoV_19_Denmark_SSI_104_2020__EPI_ISL_415648	25
hCoV_19_Saudi_Arabia_SCDC_3324_2020_EPI_ISL_416522	25
hCoV_19_Saudi_Arabia_SCDC_3321_2020_EPI_ISL_416521	25
hCov_19_Netherlands_NA_20_2020_EPI_ISL_415477	25
hCoV_19_Netherlands_NoordHolland_3_2020_EPI_ISL_415525	25
hCoV_19_China_Shanghai_SH0030_EPI_ISL_416339	-1
_BetaCoV_Wuhan_HBCDC_HB_06_2020_EPI_ISL_412982	-1
_BetaCoV_Wuhan_HBCDC_HB_04_2020_EPI_ISL_412980	-1
hCoV_19_China_Spain_cluster_case2_2020_EPI_ISL_415046	-1
hCoV_19_China_Shanghai_SH0020_EPI_ISL_416329	26
hCoV_19_China_GDFS2020127_P0026_2020_EPI_ISL_413874	26
hCoV_19_USA_WA_S37_2020_EPI_ISL_417090	-1
hCoV_19_Shandong_LY003_2020_EPI_ISL_414936	-1
hCoV_19_Netherlands_NoordBrabant_32_2020_EPI_ISL_414541	-1
hCoV_19_Netherlands_Utrecht_14_2020_EPI_ISL_414553	-1
hCoV_19_Netherlands_NoordBrabant_31_2020_EPI_ISL_414540	-1
hCoV_19_China_Shanghai_SH0056_EPI_ISL_416364	-1
hCoV_19_Japan_DP0058_2020_EPI_ISL_416568	-1
hCov_19_Netherlands_NoordBrabant_47_2020_EPI_ISL_415504	-1
hCoV_19_England_Sheff02_2020_EPI_ISL_414501	-1
hCov_19_Netherlands_NA_4_2020_EPI_ISL_415493	-1
hCoV_19_USA_WA_UW80_2020_EPI_ISL_416436	27
hCoV_19_USA_WA_UW83_2020_EPI_ISL_416439	27
hCoV_19_USA_WA_UW180_2020_EPI_ISL_416718	27
hCoV_19_USA_WA_UW182_2020_EPI_ISL_416720	27
hCoV_19_USA_WA_UW144_2020_EPI_ISL_416682	27
hCoV_19_USA_WA_UW130_2020_EPI_ISL_416668	27
hCoV_19_USA_WA_UW77_2020_EPI_ISL_416433	27
hCoV_19_USA_WA_UW71_2020_EPI_ISL_415599	27
hCoV_19_USA_WA_UW141_2020_EPI_ISL_416679	27
hCoV_19_USA_WA_UW139_2020_EPI_ISL_416677	27
hCoV_19_USA_WA_UW129_2020_EPI_ISL_416667	27
hCoV_19_USA_WA_UW101_2020_EPI_ISL_416639	27
hCoV_19_USA_CruiseA_7_2020_EPI_ISL_413612	27
hCoV_19_USA_CruiseA_24_2020_EPI_ISL_414483	27
hCoV_19_USA_CruiseA_4_2020_EPI_ISL_413609	27
hCoV_19_USA_WA_UW81_2020_EPI_ISL_416437	27
hCoV_19_USA_WA_S9_2020_EPI_ISL_416464	27
hCoV_19_Netherlands_NoordBrabant_35_2020_EPI_ISL_414544	27
hCoV_19_Netherlands_NoordBrabant_33_2020_EPI_ISL_414542	27
hCov_19_Netherlands_NA_35_2020_EPI_ISL_415492	27
hCoV_19_Netherlands_Tilburg_1363354_2020_EPI_ISL_413586	27
hCov_19_Netherlands_NA_33_2020_EPI_ISL_415490	27
hCoV_19_Singapore_13_2020_EPI_ISL_414379	27
hCoV_19_USA_CruiseA_6_2020_EPI_ISL_413611	27
hCoV_19_Germany_NRW_07_2020_EPI_ISL_414506	27
hCov_19_Netherlands_NoordBrabant_66_2020_EPI_ISL_415522	27
hCov_19_Netherlands_NoordBrabant_65_2020_EPI_ISL_415521	27
hCov_19_Netherlands_NoordBrabant_63_2020_EPI_ISL_415519	27
hCov_19_Netherlands_NoordBrabant_61_2020_EPI_ISL_415517	27
hCov_19_Netherlands_NoordBrabant_54_2020_EPI_ISL_415510	27
hCov_19_Netherlands_NoordBrabant_53_2020_EPI_ISL_415509	27
hCov_19_Netherlands_NoordBrabant_42_2020_EPI_ISL_415500	27
hCov_19_Netherlands_NA_5_2020_EPI_ISL_415494	27
hCoV_19_Netherlands_NoordBrabant_30_2020_EPI_ISL_414539	27
hCoV_19_Netherlands_NoordBrabant_27_2020_EPI_ISL_414536	27
hCoV_19_Netherlands_NoordBrabant_12_2020_EPI_ISL_414452	27
hCoV_19_Netherlands_Limburg_6_2020_EPI_ISL_414427	27
hCov_19_Netherlands_NoordBrabant_56_2020_EPI_ISL_415512	27
hCov_19_Netherlands_NA_29_2020_EPI_ISL_415486	27
hCoV_19_Scotland_CVR10_2020_EPI_ISL_415631	27
hCoV_19_Netherlands_Utrecht_18_2020_EPI_ISL_415527	27
hCoV_19_Netherlands_NoordBrabant_23_2020_EPI_ISL_414532	27
hCoV_19_USA_WA_UW185_2020_EPI_ISL_416723	27
hCoV_19_USA_WA_UW108_2020_EPI_ISL_416646	27
hCoV_19_England_SHEF_BFCEE_2020_EPI_ISL_416733	27
hCoV_19_Belgium_ULG_7019_2020_EPI_ISL_417025	27
hCoV_19_Belgium_ULG_6638_2020_EPI_ISL_417017	27
hCoV_19_China_Shanghai_SH0072_EPI_ISL_416375	27
hCov_19_Netherlands_NA_6_2020_EPI_ISL_415495	27
hCoV_19_Wales_PHW37_2020_EPI_ISL_415657	27
hCoV_19_Wales_PHW32_2020_EPI_ISL_415920	27
hCoV_19_Wales_PHW29_2020_EPI_ISL_415919	27
hCoV_19_Poland_PL_P1_2020_EPI_ISL_416488	27
hCoV_19_Netherlands_ZuidHolland_27_2020_EPI_ISL_415531	27
hCoV_19_Germany_NRW_10_2020_EPI_ISL_414574	27
hCoV_19_Germany_NRW_09_2020_EPI_ISL_414509	27
hCoV_19_Netherlands_Limburg_4_2020_EPI_ISL_414426	27
hCoV_19_Germany_NRW_08_2020_EPI_ISL_414508	27
hCoV_19_Germany_NRW_04_2020_EPI_ISL_414499	27
BetaCoV_Germany_NRW_01_2020_EPI_ISL_413488	27
hCoV_19_Netherlands_ZuidHolland_8_2020_EPI_ISL_414468	27
hCoV_19_Netherlands_NoordBrabant_6_2020_EPI_ISL_414451	27
hCoV_19_Netherlands_NoordBrabant_22_2020_EPI_ISL_414531	27
hCoV_19_China_GD2020233_P0027_2020_EPI_ISL_413856	27
BetaCoV_Wuhan_IVDC_HB_envF13_21_2020_EPI_ISL_408515	27
hCoV_19_USA_WA_UW91_2020_EPI_ISL_416447	27
hCoV_19_USA_WA_UW88_2020_EPI_ISL_416444	27
hCoV_19_USA_WA_UW84_2020_EPI_ISL_416440	27
hCoV_19_USA_WA_UW75_2020_EPI_ISL_415603	27
hCoV_19_USA_WA_UW66_2020_EPI_ISL_415594	27
hCoV_19_USA_WA_UW59_2020_EPI_ISL_415624	27
hCoV_19_USA_WA_UW58_2020_EPI_ISL_415623	27
hCoV_19_USA_WA_UW56_2020_EPI_ISL_415621	27
hCoV_19_USA_WA_UW55_2020_EPI_ISL_415620	27
hCoV_19_USA_WA_UW47_2020_EPI_ISL_415612	27
hCoV_19_USA_WA_UW44_2020_EPI_ISL_415609	27
hCoV_19_USA_WA_UW43_2020_EPI_ISL_415608	27
hCoV_19_USA_WA_UW40_2020_EPI_ISL_415605	27
hCoV_19_USA_WA_UW38_2020_EPI_ISL_416455	27
hCoV_19_USA_WA_UW32_2020_EPI_ISL_414619	27
hCoV_19_USA_WA_UW31_2020_EPI_ISL_414618	27
hCoV_19_USA_WA_UW30_2020_EPI_ISL_414617	27
hCoV_19_USA_WA_UW189_2020_EPI_ISL_416727	27
hCoV_19_USA_WA_UW188_2020_EPI_ISL_416726	27
hCoV_19_USA_WA_UW176_2020_EPI_ISL_416714	27
hCoV_19_USA_WA_UW171_2020_EPI_ISL_416709	27
hCoV_19_USA_WA_UW164_2020_EPI_ISL_416702	27
hCoV_19_USA_WA_UW162_2020_EPI_ISL_416700	27
hCoV_19_USA_WA_UW157_2020_EPI_ISL_416695	27
hCoV_19_USA_WA_UW131_2020_EPI_ISL_416669	27
hCoV_19_USA_WA_UW127_2020_EPI_ISL_416665	27
hCoV_19_USA_WA_UW126_2020_EPI_ISL_416664	27
hCoV_19_USA_WA_UW107_2020_EPI_ISL_416645	27
hCoV_19_USA_WA_S97_2020_EPI_ISL_417150	27
hCoV_19_USA_WA_S96_2020_EPI_ISL_417149	27
hCoV_19_USA_WA_S95_2020_EPI_ISL_417148	27
hCoV_19_USA_WA_S90_2020_EPI_ISL_417143	27
hCoV_19_USA_WA_S8_2020_EPI_ISL_416463	27
hCoV_19_USA_WA_S89_2020_EPI_ISL_417142	27
hCoV_19_USA_WA_S78_2020_EPI_ISL_417131	27
hCoV_19_USA_WA_S76_2020_EPI_ISL_417129	27
hCoV_19_USA_WA_S58_2020_EPI_ISL_417111	27
hCoV_19_USA_WA_S41_2020_EPI_ISL_417094	27
hCoV_19_USA_WA_S30_2020_EPI_ISL_417083	27
hCoV_19_USA_WA_S27_2020_EPI_ISL_417080	27
hCoV_19_USA_WA_S25_2020_EPI_ISL_417078	27
hCoV_19_USA_WA_S23_2020_EPI_ISL_417076	27
hCoV_19_USA_WA_S22_2020_EPI_ISL_417075	27
hCoV_19_USA_WA_S120_2020_EPI_ISL_417173	27
hCoV_19_USA_WA_S11_2020_EPI_ISL_416466	27
hCoV_19_USA_WA_S106_2020_EPI_ISL_417159	27
hCoV_19_USA_CT_Yale_009_2020_EPI_ISL_416423	27
hCoV_19_USA_CA_CDPH_UC6_2020_EPI_ISL_413924	27
hCoV_19_USA_CA_CDPH_UC5_2020_EPI_ISL_413922	27
hCoV_19_USA_CA_CDPH_UC1_2020_EPI_ISL_413557	27
hCoV_19_USA_CA_CDPH_UC3_2020_EPI_ISL_413559	27
BetaCoV_Wuhan_WH05_2020_EPI_ISL_408978	27
BetaCoV_Taiwan_2_2020_EPI_ISL_406031	27
hCoV_19_Malaysia_MKAK_CL_2020_5045_2020_EPI_ISL_416829	27
hCoV_19_China_Shanghai_SH0127_EPI_ISL_416408	27
hCoV_19_Japan_DP0765_2020_EPI_ISL_416625	27
hCoV_19_Japan_DP0764_2020_EPI_ISL_416624	27
hCoV_19_Japan_DP0703_2020_EPI_ISL_416619	27
hCoV_19_Japan_DP0697_2020_EPI_ISL_416616	27
hCoV_19_Japan_DP0476_2020_EPI_ISL_416604	27
hCoV_19_Japan_DP0464_2020_EPI_ISL_416603	27
hCoV_19_Japan_DP0462_2020_EPI_ISL_416602	27
hCoV_19_Japan_DP0278_2020_EPI_ISL_416587	27
hCoV_19_Japan_DP0191_2020_EPI_ISL_416582	27
hCoV_19_Japan_DP0005_2020_EPI_ISL_416565	27
nCoV_19_Georgia_Tb_537_2020_EPI_ISL_416480	27
nCoV_19_GE_Tb_468_2020_EPI_ISL_415643	27
hCov_19_Netherlands_NA_34_2020_EPI_ISL_415491	27
hCov_19_Netherlands_NA_27_2020_EPI_ISL_415484	27
hCov_19_Netherlands_NA_14_2020_EPI_ISL_415470	27
hCoV_19_United_Kingdom_201000003_2020_EPI_ISL_414013	27
hCoV_19_United_Kingdom_200990006_2020_EPI_ISL_414011	27
hCoV_19_United_Kingdom_200960515_2020_EPI_ISL_414009	27
hCoV_19_Netherlands_NoordBrabant_37_2020_EPI_ISL_414546	27
hCoV_19_Netherlands_NoordBrabant_25_2020_EPI_ISL_414534	27
hCoV_19_Netherlands_NoordBrabant_20_2020_EPI_ISL_414529	27
hCoV_19_Hangzhou_ZJU_01_2020_EPI_ISL_415709	27
hCoV_19_Georgia_Tb_54_2020_EPI_ISL_415641	27
hCoV_19_Finland_FIN_274_2020_EPI_ISL_414645	27
hCoV_19_Finland_FIN03032020B_2020_EPI_ISL_413603	27
hCoV_19_Finland_FIN01032020_2020_EPI_ISL_413605	27
hCoV_19_England_20100122107_2020_EPI_ISL_415143	27
hCoV_19_England_20100122106_2020_EPI_ISL_415142	27
hCoV_19_England_20100077906_2020_EPI_ISL_415139	27
hCoV_19_England_20099079106_2020_EPI_ISL_415130	27
hCoV_19_Hong_Kong_case52_VM20002582_2020_EPI_ISL_414569	27
hCoV_19_Hong_Kong_case42_VM20002493_2020_EPI_ISL_414527	27
